City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,busselton,-33.65,115.3333,14.1,80,0,4.52,AU,1676234582
1,bethel,41.3712,-73.414,8.56,45,100,0.95,US,1676234583
2,grindavik,63.8424,-22.4338,8.97,100,100,14.4,IS,1676234583
3,albany,42.6001,-73.9662,7.9,41,99,1.37,US,1676234584
4,alofi,-19.0595,-169.9187,26.94,89,75,2.57,NU,1676234584
5,mataura,-46.1927,168.8643,17.3,70,35,0.29,NZ,1676234584
6,kapaa,22.0752,-159.319,25.18,74,75,9.77,US,1676234585
7,lambarene,-0.7001,10.2406,25.87,89,88,1.74,GA,1676234585
8,hermanus,-34.4187,19.2345,22.11,69,68,3.22,ZA,1676234586
9,tiksi,71.6872,128.8694,-41.45,100,70,1.62,RU,1676234586
10,kaitangata,-46.2817,169.8464,16.24,72,92,2.06,NZ,1676234587
11,rikitea,-23.1203,-134.9692,25.89,67,36,1.58,PF,1676234587
12,kasempa,-13.4584,25.8338,18.43,91,97,1.59,ZM,1676234587
13,iquique,-20.2208,-70.1431,26.02,69,58,2.34,CL,1676234516
14,atuona,-9.8,-139.0333,26.07,75,2,7.74,PF,1676234588
15,harper,4.375,-7.7169,26.64,85,4,3.31,LR,1676234588
16,tasiilaq,65.6145,-37.6368,-5.91,68,100,4.98,GL,1676234589
17,touros,-5.1989,-35.4608,27.41,74,100,6.13,BR,1676234331
18,isabela,6.7085,121.9711,24.8,82,88,0.55,PH,1676234589
19,pundaguitan,6.3711,126.1689,26.15,81,100,3.66,PH,1676234590
20,ponta do sol,32.6667,-17.1,16.51,75,85,2.5,PT,1676234590
21,jamestown,42.097,-79.2353,9.8,18,0,2.06,US,1676234551
22,igra,57.5558,53.0547,-8.82,94,100,3.87,RU,1676234591
23,qaanaaq,77.484,-69.3632,-32.82,94,65,2.36,GL,1676234591
24,punta arenas,-53.15,-70.9167,12.06,50,40,9.77,CL,1676234591
25,weihai,37.5017,122.1136,0.72,60,100,11.87,CN,1676234349
26,esperance,-33.8667,121.9,14.76,81,0,4.33,AU,1676234592
27,san patricio,28.017,-97.5169,20.09,35,100,4.05,US,1676234593
28,barrow,71.2906,-156.7887,-27.99,76,0,5.66,US,1676234593
29,avarua,-21.2078,-159.775,29.03,79,20,4.12,CK,1676234593
30,yellowknife,62.456,-114.3525,-17.47,78,20,2.06,CA,1676234317
31,cape town,-33.9258,18.4232,21.73,83,20,6.17,ZA,1676234576
32,haines junction,60.7522,-137.5108,-5.03,80,100,0.0,CA,1676234594
33,hasaki,35.7333,140.8333,9.56,92,100,2.13,JP,1676234594
34,kungurtug,50.5994,97.5228,-25.5,92,32,1.02,RU,1676234595
35,fortuna,40.5982,-124.1573,14.4,75,0,0.45,US,1676234595
36,new norfolk,-42.7826,147.0587,12.06,66,9,0.89,AU,1676234595
37,saldanha,-33.0117,17.9442,17.92,93,0,5.59,ZA,1676234596
38,hithadhoo,-0.6,73.0833,26.9,67,2,4.21,MV,1676234596
39,lompoc,34.6391,-120.4579,20.01,60,100,8.05,US,1676234597
40,raga,8.4596,25.678,26.55,22,12,2.66,SS,1676234597
41,ushuaia,-54.8,-68.3,10.81,58,75,4.12,AR,1676234597
42,hobart,-42.8794,147.3294,12.25,72,75,4.12,AU,1676234419
43,havoysund,70.9963,24.6622,2.13,82,99,16.27,NO,1676234599
44,kawalu,-7.3817,108.2082,21.54,95,97,0.66,ID,1676234599
45,tuktoyaktuk,69.4541,-133.0374,-38.0,74,20,0.0,CA,1676234600
46,quatre cocos,-20.2078,57.7625,26.06,71,9,6.93,MU,1676234600
47,khatanga,71.9667,102.5,-15.24,96,100,2.35,RU,1676234600
48,winnemucca,40.973,-117.7357,6.09,41,43,2.85,US,1676234601
49,puerto ayora,-0.7393,-90.3518,30.98,86,96,3.13,EC,1676234601
50,cap malheureux,-19.9842,57.6142,24.7,71,7,7.68,MU,1676234601
51,hovd,48.0056,91.6419,-15.95,97,100,0.08,MN,1676234602
52,castro,-24.7911,-50.0119,20.99,88,75,0.82,BR,1676234603
53,karaton,-6.3424,106.1045,23.35,92,100,2.57,ID,1676234603
54,kargasok,59.0556,80.8572,-17.74,99,99,2.11,RU,1676234603
55,kuytun,54.3419,101.5036,-25.63,100,97,1.59,RU,1676234604
56,the valley,18.217,-63.0578,27.08,69,75,6.69,AI,1676234604
57,rapid valley,44.0625,-103.1463,12.65,24,0,10.29,US,1676234605
58,samana,19.2056,-69.3369,28.12,78,20,4.12,DO,1676234605
